Año,INSTITUCION,% Deserción,INSTITUCION_LATITUDE,INSTITUCION_LONGITUD
2013,CARITAS FELICES HIGH SCHOOL,43.90243902439025,5.70852068,-72.94231463
2013,CENTRO DE DESARROLLO HUMANO CEDHU,2.302631578947368,5.727487272,-72.91756557
2013,COLEGIO ACUARELA CAMPESTRE,7.236842105263158,5.730212985,-72.91795212
2013,COLEGIO ALEJANDRO DE HUMBOLDT,2.681992337164751,5.705905456,-72.93141246
2013,COLEGIO BASICO PESTALOZZI,6.666666666666667,5.708635258,-72.9300768
2013,COLEGIO CELCO,5.3908355795148255,5.72353309,-72.92434841
2013,COLEGIO CELESTIN FREINET,11.29032258064516,5.719746773,-72.92994858
2013,COLEGIO CIUDAD DEL SOL,2.8634361233480177,5.715408077,-72.93163362
2013,COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES,6.866952789699571,5.721328674,-72.92831918
2013,COLEGIO COOPERATIVO REYES PATRIA,2.286401925391095,5.727687999,-72.92028691
2013,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,20.408163265306122,5.715936476,-72.92788518
2013,COLEGIO IFESCOL BOYACÁ,61.111111111111114,5.71504311,-72.92748608
2013,COLEGIO LA RANA RENE,0.0,5.718583976,-72.9238786
2013,COLEGIO MILITAR INOCENCIO CHINCA,25.842696629213485,5.727239975,-72.92707888
2013,COLEGIO NUESTRA SEÑORA DEL ROSARIO,4.508856682769726,5.71946,-72.9228157
2013,COLEGIO PEDAGOGICO DE COLOMBIA,75.0,5.730488001,-72.91997618
2013,COLEGIO PSICOPEDAGÓGICO DE SOGAMOSO,17.24137931034483,5.723353205,-72.92149567
2013,COLEGIO SAN JOSE,5.681818181818182,5.7204461,-72.93062463
2013,COLEGIO SAN PABLO APOSTOL,1.6129032258064515,5.719634768,-72.93092505
2013,COLEGIO SANTA CATALINA,6.172839506172839,5.710533981,-72.9380581
2013,COLEGIO SANTO DOMINGO,2.7522935779816518,5.72284793,-72.94035325
2013,COLEGIO SUAMOX,7.964601769911504,5.721883689,-72.92163758
2013,COLEGIO UNICAB VIRTUAL,16.666666666666664,5.720373875,-72.9305891
2013,EL TALLER DE WINNIE POO,6.666666666666667,5.727116277,-72.91983898
2013,FRIEDRICH FROBEL COUNTRY SCHOOL,1.9607843137254901,5.685059517,-72.9549741
2013,GIMNASIO MODERNO,52.38095238095239,5.722947772,-72.92855628
2013,INSTITUCION EDUCATIVA ANTONIO NARIÑO,83.78378378378379,5.719343915,-72.93165071
2013,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,9.04939809049398,5.70323136,-72.92780834
2013,INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA,15.384615384615385,5.716632154,-72.92435427
2013,INSTITUCION EDUCATIVA EL CRUCERO,18.984547461368653,5.61973902,-72.90691501
2013,INSTITUCION EDUCATIVA EMPRESARIAL Y AGROINDUSTRIAL LOS ANDES,13.452914798206278,5.70906344,-72.93210669
2013,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,5.17464424320828,5.72067174,-72.9245456
2013,INSTITUCION EDUCATIVA INTEGRADA MARCO ANTONIO QUIJANO RICO,6.007067137809187,5.66525761,-72.88858632
2013,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,4.0741644303488656,5.71504638,-72.93608788
2013,INSTITUCION EDUCATIVA LA INDEPENDENCIA,9.523809523809524,5.65464661,-72.93558742
2013,INSTITUCION EDUCATIVA LOS LIBERTADORES,10.903814262023218,5.72447061,-72.9373046
2013,INSTITUCION EDUCATIVA MAGDALENA,16.578793204452253,5.7166989,-72.94370468
2013,INSTITUCION EDUCATIVA NUEVA GRANADA,20.710059171597635,5.723033331,-72.93440694
2013,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,8.462259728082513,5.70472631,-72.94317296
2013,INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT,4.0,5.66652829,-72.92950943
2013,INSTITUCION EDUCATIVA SILVESTRE ARENAS,9.433962264150944,5.68939014,-72.94776401
2013,INSTITUCION EDUCATIVA TECNICA BELLAS ARTES,11.936936936936938,5.71458352,-72.93943304
2013,INSTITUCION EDUCATIVA TECNICA INDUSTRIAL GUSTAVO JIMENEZ,7.5400565504241275,5.75943035,-72.90539833
2013,INSTITUCION EDUCATIVA TECNICO SAN MARTIN DE TOURS,3.6458333333333335,5.71634364,-72.92501073
2013,INSTITUTO DE EDUCACION FORMAL COMFABOY,3.6363636363636362,5.715887661,-72.92654354
2013,INSTITUTO POLITECNICO JOSE CELESTINO MUTIS,25.833333333333336,5.716401302,-72.92742941
2013,INSTITUTO SAN MARTIN,23.376623376623375,5.714840604,-72.93236042
2013,INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,8.900523560209423,5.72207519,-72.89166983
2013,JARDIN DE BARNEY,3.488372093023256,5.714374089,-72.93328385
2013,JARDIN INFANTIL KINDER MARTICA,7.352941176470589,5.729814493,-72.91873981
2013,JARDIN INFANTIL MANITAS CREATIVAS,53.333333333333336,5.719474969,-72.93025072
2013,JARDIN INFANTIL PICARDIAS,4.0,5.724308081,-72.93804211
2013,JARDIN INFANTIL RAYITO DE SOL,100.0,5.716774858,-72.91667616
2013,JARDÍN INFANTIL PEDAGÓGICO,17.073170731707318,5.7238365,-72.92410187
2013,LICEO ANGLO AMERICANO,36.25,5.728058353,-72.92701841
2013,LICEO CAMPESTRE EL MUNDO QUE SOÑE S.A.S,8.695652173913043,5.716516685,-72.9311379
2013,LICEO COLOMBO ANDINO,4.049844236760125,5.720742171,-72.92927719
2013,LICEO COOPERATIVO CAMPESTRE,3.140096618357488,5.700979918,-72.92407606
2013,LICEO DE APRESTAMIENTO ESCOLAR INFANTIL AEI,20.0,5.742415872,-72.91472752
2013,LICEO GABRIELA MISTRAL,20.28985507246377,5.714955514,-72.93780224
2013,LICEO INFANTIL SAN MIGUEL ARCANGEL,20.0,5.704936945,-72.92192857
2013,LICEO LA PRESENTACION SOGAMOSO,3.137902559867878,5.719042672,-72.9395699
2013,LICEO PELDAÑOS,57.692307692307686,5.71980808,-72.92262766
2013,LICEO SAN FERNANDO,6.097560975609756,5.719814479,-72.9283044
2013,LICEO SAN NICOLAS DE TOLENTINO,3.723404255319149,5.729902583,-72.91654868
2013,LICEO SANTO ÁNGEL,7.777777777777778,5.721966093,-72.92095634
2014,CARITAS FELICES HIGH SCHOOL,25.0,5.70852068,-72.94231463
2014,CENTRO DE DESARROLLO HUMANO CEDHU,9.028960817717206,5.727487272,-72.91756557
2014,COLEGIO ACUARELA CAMPESTRE,5.825242718446602,5.730212985,-72.91795212
2014,COLEGIO ALEJANDRO DE HUMBOLDT,5.5045871559633035,5.705905456,-72.93141246
2014,COLEGIO BASICO PESTALOZZI,52.94117647058824,5.708635258,-72.9300768
2014,COLEGIO CELCO,15.346534653465346,5.72353309,-72.92434841
2014,COLEGIO CELESTIN FREINET,5.172413793103448,5.719746773,-72.92994858
2014,COLEGIO CIUDAD DEL SOL,13.46578366445916,5.715408077,-72.93163362
2014,COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES,20.79646017699115,5.721328674,-72.92831918
2014,COLEGIO COOPERATIVO REYES PATRIA,14.380530973451327,5.727687999,-72.92028691
2014,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,82.53968253968253,5.715936476,-72.92788518
2014,COLEGIO LA RANA RENE,3.75,5.718583976,-72.9238786
2014,COLEGIO MILITAR INOCENCIO CHINCA,35.0,5.727239975,-72.92707888
2014,COLEGIO NUESTRA SEÑORA DEL ROSARIO,2.697841726618705,5.71946,-72.9228157
2014,COLEGIO PSICOPEDAGÓGICO DE SOGAMOSO,37.735849056603776,5.723353205,-72.92149567
2014,COLEGIO SAN JOSE,5.5045871559633035,5.7204461,-72.93062463
2014,COLEGIO SAN PABLO APOSTOL,3.896103896103896,5.719634768,-72.93092505
