SECRETARÍA;CÓDIGO MUNICIPIO; MUNICIPIO;CÓDIGO; NOMBRE;  DIRECCIÓN;LAT;LONG; TELÉFONO; NOMBRE RECTOR; TIPO ESTABLECIMIENTO; SECTOR; GENERO; ZONA; NIVELES; JORNADAS; CARACTER; ESPECIALIDAD; LICENCIA; GRADOS; MODELOS EDUCATIVOS;  CAPACIDADES EXCEPCIONALES; DISCAPACIDADES; IDIOMAS; NÚMERO DE SEDES; ESTADO; PRESTADOR DE SERVICIO; PROPIEDAD DE LA PLANTA FISÍCA; RESGUARDO; MATRICULA CONTRATADA; CALENDARIO; INTERNADO; ESTRATO SOCIO-ECONOMICO; CORREO ELECTRÓNICO
SOGAMOSO;15759;SOGAMOSO;2,15759E+11;INSTITUCION EDUCATIVA INTEGRADA MARCO ANTONIO QUIJANO RICO;VEREDA EL HATILLO;5,6652576;-72,8885863;3138546441 - 3134026095;LEONOR TIBOCHA JULIAO;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,AGROPECUARIO,ACADÉMICA;SIN REVISAR;-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;TRANSFORMEMOS,PREESCOLAR ESCOLARIZADO_,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,TELESECUNDARIA,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE,CAFAM;;;;7;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;SI;A;;;quijano-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;2,15759E+11;INSTITUCION EDUCATIVA SILVESTRE ARENAS;CARRERA 11 # 18- 61 SUR;5,6893901;-72,9477640;3124126834;RAFAELA DEL CARMEN LEON BARRERA;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA,RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26;PREESCOLAR ESCOLARIZADO_,TRANSFORMEMOS,POST PRIMARIA,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,SER;;;;3;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;SI;A;;;silvestrearenas-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA LOS LIBERTADORES;CALLE 12A  N. 26-34;5,7244706;-72,9373046;7715660;FABIO AUGUSTO PEREZ MEJIA;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA,RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,NO APLICA,INDUSTRIAL,ACADÉMICA;SIN REVISAR;-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,A CRECER,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE;;;;4;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;SI;A;;;libertadores-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;2,15759E+11;INSTITUCION EDUCATIVA EL CRUCERO;VEREDA PRIMERA CHORRERA SECTOR EL CRUCERO;5,6197390;-72,9069150;3203020408;GIOVANNI MAURICIO VELANDIA CORONADO;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,NO APLICA,INDUSTRIAL,AGROPECUARIO,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;PREESCOLAR ESCOLARIZADO_,TRANSFORMEMOS,POST PRIMARIA,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,TELESECUNDARIA;;;;6;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;;;crucero-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA MAGDALENA;CL 5 A 25 A 35;5,7166989;-72,9437047;7718092;PEDRO NU¿EZ CALA;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,INDUSTRIAL,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26;TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,SER;;;;1;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;;;magdalena-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA;CL 3 SUR 16 47;5,7047263;-72,9431730;7701545 / 7715640;HNO. CAMILO ANDRES VARGAS CASTILLO;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,INDUSTRIAL,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;PREESCOLAR ESCOLARIZADO_,TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL;;;;5;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;;;politecnico-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER;KR 11 18 10;5,7206717;-72,9245456;7750289 - 3105523468;JOSE TITO ROJAS RINCON;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,NO APLICA,INDUSTRIAL,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,31,32,99;CAMINAR EN SECUNDARIA,FLEXIBLE ESCUELA INTEGRAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,ACELERACIÓN DEL APRENDIZAJE;;;;1;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;SI;A;;;santander-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI;AVENIDA DEL  CUSIANA;5,7032314;-72,9278083;7702655-7703161;GLADYS BARRERA MARTINEZ;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;RURAL,URBANA;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,INDUSTRIAL,ACADÉMICA;SIN REVISAR;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL;;;;4;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;SI;A;;;sugamuxi-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO;CARRERA 10 NO. 21-52;5,7150464;-72,9360879;7702700-7701921;JORGE ALBERTO CRUZ RINCON;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA,RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;OTRO,NO APLICA,INDUSTRIAL,ACADÉMICA;SIN REVISAR;-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26;TRANSFORMEMOS,PREESCOLAR ESCOLARIZADO_,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,CAFAM;;;;5;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;;;integrado-educacion@sogamoso-boyaca.gov.co
SOGAMOSO;15759;SOGAMOSO;1,15759E+11;INSTITUCION EDUCATIVA EMPRESARIAL Y AGROINDUSTRIAL LOS ANDES;CALLE 4 N¿ 10 - 27;5,7090634;-72,9321067;7717796;PLUTARCO HUERFANO LEMUS;INSTITUCION EDUCATIVA;OFICIAL;MIXTO;URBANA,RURAL;PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA;MAÑANA,ÚNICA,NOCTURNA,TARDE,FIN DE SEMANA;TÉCNICO/ACADEMICO;NO APLICA,INDUSTRIAL,AGROPECUARIO,ACADÉMICA;SIN REVISAR;0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,31,32;TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE;;;;2;ANTIGUO-ACTIVO;OFICIAL;OFICIAL;NO APLICA;NO;A;;;inseandes-educacion@sogamoso-boyaca.gov.co
